epochs,acc,loss,val_acc,val_loss
0,0.5382198691368103,0.9224439263343811,0.8571428656578064,0.4299136996269226
1,0.8921465873718262,0.29860031604766846,0.9513677954673767,0.1650993973016739
2,0.9565445184707642,0.12512776255607605,0.9665653705596924,0.09619612991809845
3,0.9764397740364075,0.0680915117263794,0.9878419637680054,0.05009201914072037
4,0.9795811772346497,0.05279397964477539,0.9878419637680054,0.0507594458758831
5,0.9827225208282471,0.05047941580414772,0.9665653705596924,0.10613036155700684
6,0.9895287752151489,0.029599063098430634,0.9848024249076843,0.05394227057695389
7,0.9937172532081604,0.02284671552479267,0.9848024249076843,0.05837969854474068
8,0.9947643876075745,0.01588941365480423,0.975683867931366,0.07741746306419373
9,0.99109947681427,0.025768551975488663,0.975683867931366,0.09495796263217926
10,0.9952879548072815,0.012284684926271439,0.9817629456520081,0.0911477580666542
11,0.9937172532081604,0.01557824108749628,0.9908814430236816,0.06953582912683487
12,0.9931937456130981,0.022681009024381638,0.9908814430236816,0.05719191953539848
13,0.9979057312011719,0.007951016537845135,0.9848024249076843,0.0903501808643341
14,1.0,0.0006575919105671346,0.978723406791687,0.15590713918209076
15,0.9863874316215515,0.04051763191819191,0.9908814430236816,0.03494667261838913
16,0.9952879548072815,0.01661870628595352,0.978723406791687,0.1090361624956131
17,0.9958115220069885,0.011232491582632065,0.9908814430236816,0.04526028782129288
18,0.999476432800293,0.0011082206619903445,0.9908814430236816,0.0651274025440216
19,1.0,0.0005715336301364005,0.9939209818840027,0.08702898770570755
